Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form Of Contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,NDA/Pre Qualification,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Published Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address
ADVANCED WEAPONS AND EQUIPMENT INDIA LTD-AWEIL||GUN AND SHELL FACTORY - COSSIPORE,GSF/RD2301/EO(C)/TC STE,2023_AWEIL_164038_1,Yes,Open Tender,Percentage,Works,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"60,000",No,fixed,NA,"The Executive Director, GSF, Cossipore","Cossipore, Kolkata","Term contract for artificers work in building including joinery and plumbing works at Seven Tanks Estate at Gun and  Shell Factory, Cossipore","Term contract for artificers work in building including joinery and plumbing works at Seven Tanks Estate at Gun and Shell Factory, Cossipore",Please refer Tender documents.,NA,"30,00,000",Civil Works,NA,Tender,90,365,"GSF,Cossipore, Kolkata",700002,NA,NA,NA,"GSF,Cossipore, Kolkata",No,No,23-Aug-2023 03:00 PM,25-Sep-2023 10:00 AM,24-Aug-2023 10:00 AM,21-Sep-2023 10:00 AM,NA,NA,24-Aug-2023 10:00 AM,21-Sep-2023 10:00 AM,"Ankit Dwivedi, Works Manager","GSF,Cossipore, Kolkata"
ADVANCED WEAPONS AND EQUIPMENT INDIA LTD-AWEIL||GUN AND SHELL FACTORY - COSSIPORE,GSF/RD2303/EO(C)/FENCING,2023_AWEIL_164445_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"6,876",Yes,fixed,NA,"The Executive Director, GSF, Cossipore","Cossipore, Kolkata","Repairing of fencing wall in front of boundary wall at works-I and II at Gun and Shell Factory, Cossipore, Kolkata-700002.","Repairing of fencing wall in front of boundary wall at works-I and II at Gun and Shell Factory, Cossipore, Kolkata-700002.",Please refer Tender documents.,NA,"3,43,824",Civil Works,NA,Tender,90,180,"GSF,Cossipore, Kolkata",700002,NA,NA,NA,"GSF,Cossipore, Kolkata",No,No,19-Sep-2023 12:08 PM,26-Sep-2023 10:00 AM,21-Aug-2023 10:00 AM,21-Sep-2023 10:00 AM,NA,NA,21-Aug-2023 10:00 AM,21-Sep-2023 10:00 AM,"Ankit Dwivedi, Works Manager","GSF, Cossipore, Kolkata"
ADVANCED WEAPONS AND EQUIPMENT INDIA LTD-AWEIL||GUN AND SHELL FACTORY - COSSIPORE,GSF/RD2207/EO(C)/NJRE TANK,2023_AWEIL_163607_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"45,874",Yes,fixed,NA,"The Executive Director, GSF, Cossipore","Cossipore, Kolkata","Repairs to damaged RCC structure and MS stair of Over Head Tank at New Jheel Road Estate at Gun and Shell Factory, Cossipore, Kolkata-700002.","Repairs to damaged RCC structure and MS stair of Over Head Tank at New Jheel Road Estate at Gun and Shell Factory, Cossipore, Kolkata-700002.",Please refer Tender documents.,NA,"22,93,719",Civil Works,NA,Tender,90,180,"GSF, Cossipore, Kolkata",700002,NA,NA,NA,"GSF, Cossipore, Kolkata",No,No,09-Aug-2023 11:00 AM,27-Sep-2023 10:00 AM,10-Aug-2023 10:00 AM,22-Sep-2023 10:00 AM,NA,NA,10-Aug-2023 10:00 AM,22-Sep-2023 10:00 AM,"Ankit Dwivedi, Works Manager","GSF, Cossipore, Kolkata"
Airports Authority of India||Eastern Region - AAI||Jharsuguda - AAI||General-VEJH-AAI,AAI/JH/Engg.(C)/Chain link/2023-24/eNIT/,2023_AAI_167994_1,Yes,Open Tender,Works,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"70,995",No,fixed,NA,Nil,Nil,Construction of Chain Link Fencing around Civil and Electrical office and other locations at VSS Airport Jharsuguda,"Construction of Chain Link Fencing around Civil and Electrical office and other locations at VSS Airport, Jharsuguda.",Please refer Tender documents.,NA,"35,49,732",Civil Works,NA,Tender,90,180,"VSS Airport, Jharsuguda.",768204,NA,NA,NA,"VSS Airport, Jharsuguda.",No,No,18-Sep-2023 12:00 PM,18-Oct-2023 11:00 AM,19-Sep-2023 09:30 AM,16-Oct-2023 06:00 PM,19-Sep-2023 09:30 AM,25-Sep-2023 06:00 PM,19-Sep-2023 09:30 AM,16-Oct-2023 06:00 PM,DGM (Engg.-C),"VSS Airport, Jharsuguda."
Airports Authority of India||North East Region - AAI||LILABARI - AAI||ENGG CIVIL-VELR - AAI,AAI/LBR/SM(E-C)/Ops.B.w Painting/23-24,2023_AAI_167291_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"90,052",No,fixed,NA,Nil,Nil,Painting of Operational Boundary wall from inside face only during 2023-2024 at Lilabari Airport,Painting of Operational Boundary wall from inside face only during 2023-2024 at Lilabari Airport,As per NIT,N/A,"45,02,603",Civil Works,NA,Tender,180,120,Lilabari Airport,787051,NA,NA,NA,Lilabari Airport,No,No,18-Sep-2023 10:00 AM,10-Oct-2023 11:30 AM,18-Sep-2023 10:30 AM,09-Oct-2023 11:00 AM,18-Sep-2023 10:30 AM,29-Sep-2023 05:30 PM,18-Sep-2023 10:30 AM,09-Oct-2023 11:00 AM,SM(E-C),"Lilabari Airport, North Lakhimpur Assam-787051"
Airports Authority of India||CHQ - AAI||Engineering Civil - AAI,AAI/CHQ/ER/E-C/BGDR-EPC/2023,2023_AAI_167569_1,Yes,Open Tender,EPC Contract,Works,2,No,No,Online,No,No,No,"11,800",Nil,Nil,No,"9,75,45,000",Yes,fixed,NA,Nil,Nil,"Development of New Civil Enclave at Bagdogra Airport. Sub Head Construction of New Terminal Building, MLCP, Allied Structure and External Development works on Engineering Procurement and Construction (EPC) Model.","Development of New Civil Enclave at Bagdogra Airport. SH Construction of New Terminal Building, MLCP, Allied Structure and External Development works on Engineering Procurement and Construction (EPC) Model.",As per NIT,NA,NA,Civil Works - Buildings,NA,Tender,180,913,Bagdogra,734421,NA,NA,NA,New Delhi,No,No,16-Sep-2023 11:00 AM,06-Nov-2023 11:00 AM,16-Sep-2023 11:00 AM,31-Oct-2023 05:00 PM,16-Sep-2023 11:00 AM,12-Oct-2023 05:00 PM,21-Oct-2023 09:30 AM,31-Oct-2023 05:00 PM,"AGM(Engg.-C) ER, CHQ","Office of ED(Engg) ER and NER, 2nd Floor, Old RD Building, Safdarjung Airport, New Delhi 110003"
Airports Authority of India||Southern Region - AAI||HYDERABAD - AAI||ENGG CIVIL-VOHY - AAI,AAI/HYD/ENGG(C)/W-04/2023-24,2023_AAI_167600_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"1,05,362",No,fixed,NA,Nil,Nil,"Modification of Hangers at Begumpet Airport, Hyderabad.","Modification of Hangers at Begumpet Airport, Hyderabad.",As per eNIT.,NA,"52,68,100",Civil Works,NA,Tender,90,90,"Begumpet Airport, Hyderabad",500016,NA,NA,NA,"O/o GM(CIC), Begumpet Airport, Hyderabad.",No,No,16-Sep-2023 09:00 AM,09-Oct-2023 11:00 AM,16-Sep-2023 09:30 AM,07-Oct-2023 06:00 PM,16-Sep-2023 09:30 AM,25-Sep-2023 06:00 PM,16-Sep-2023 09:30 AM,07-Oct-2023 06:00 PM,"S Gopal Krishna, SM ENGG(CIVIL)","O/o GM(CIC), Begumpet Airport, Hyderabad."
Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||ENGG ELECT-AMRITSAR - AAI,AAI/Kangra/Commercial-16/Car Parking/2023-24,2023_AAI_167825_1,Yes,Limited,Sale,Services,2,No,No,Online,No,No,No,"10,000",Nil,Nil,No,"1,26,800",No,fixed,NA,Nil,Nil,"Concession to Supply, Install, Test, Commission (SITC) and Operate Automated Parking Management System, Collection of Parking Fees and Excess Time Fees Rights at at Kangra Airport","Concession to Supply, Install, Test, Commission (SITC) and Operate Automated Parking Management System, Collection of Parking Fees and Excess Time Fees Rights at at Kangra Airport",As per NIT,NA,NA,Allotment of Space,NA,Tender,180,1825,Kangra Airport,176209,NA,NA,NA,Kangra Airport,No,No,15-Sep-2023 06:00 PM,05-Oct-2023 06:00 PM,15-Sep-2023 06:00 PM,04-Oct-2023 06:00 PM,15-Sep-2023 06:00 PM,24-Sep-2023 06:00 PM,15-Sep-2023 06:00 PM,04-Oct-2023 06:00 PM,Airport Director,"O/o Airport Director, AAI, Kangra Airport"
Airports Authority of India||Eastern Region - AAI||KOLKATA AIRPORT - AAI||ENGG ELECT-VECC - AAI,AAC/EMD-I/AC Maintenance/2023-24,2023_AAI_167797_1,Yes,Open Tender,Works,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,Yes,"3,50,868",Yes,fixed,NA,Nil,Nil,"Works Contract for RMO AC Equipment at NSCBI Airport dg. 2023-26.SH All Inclusive / Comprehensive maintenance contract of window ACs, Split ACs, Ductable ACs, Package AC for 3 years.","Works Contract for RMO AC Equipment at
NSCBI Airport dg. 2023-26.SH All Inclusive / Comprehensive maintenance contract of
window ACs, Split ACs, Ductable ACs, Package AC for 3 years.",Please refer Tender documents.,NA,"1,75,43,413",Electrical Works,NA,Tender,90,1095,"AAI Ops. Building, NSCBI Airport Kolkata",700052,NA,NA,NA,"AAI Ops. Building, NSCBI Airport Kolkata",No,No,15-Sep-2023 06:00 PM,13-Oct-2023 11:00 AM,16-Sep-2023 09:30 AM,11-Oct-2023 06:00 PM,16-Sep-2023 09:30 AM,22-Sep-2023 06:00 PM,22-Sep-2023 09:30 AM,11-Oct-2023 06:00 PM,Abhijit Datta,"AAI Ops. Building, NSCBI Airport Kolkata"
Airports Authority of India||Eastern Region - AAI||RANCHI - AAI||ENGG CIVIL-VERC - AAI,AAI/RC/SM(E-C)/Joint Filling/2023-24,2023_AAI_167720_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"81,700",No,fixed,NA,Nil,Nil,"Joint filling in Rigid Pavements at B.M. Airport, Ranchi.","Joint filling in Rigid Pavements at B.M. Airport, Ranchi.",Please refer Tender Documents,NA,"40,85,000",Civil Works,NA,Tender,90,120,"B. M. Airport, Ranchi",834002,NA,NA,NA,"O/o SM(E-C), AAI, B.M. Airport, Ranchi",No,No,15-Sep-2023 06:00 PM,09-Oct-2023 11:00 AM,16-Sep-2023 09:30 AM,06-Oct-2023 06:00 PM,16-Sep-2023 09:30 AM,29-Sep-2023 06:00 PM,16-Sep-2023 09:30 AM,06-Oct-2023 06:00 PM,SM(E-C),"O/o SM(E-C), AAI, B.M. Airport, Ranchi"
