e-Published Date,Closing Date,Opening Date,Title and Ref.No./Tender ID,Organisation Chain
23-Aug-2023 03:00 PM,21-Sep-2023 10:00 AM,25-Sep-2023 10:00 AM,"[Term contract for artificers work in building including joinery and plumbing works at Seven Tanks Estate at Gun and  Shell Factory, Cossipore]
																				[GSF/RD2301/EO(C)/TC STE][2023_AWEIL_164038_1]",ADVANCED WEAPONS AND EQUIPMENT INDIA LTD-AWEIL||GUN AND SHELL FACTORY - COSSIPORE
19-Aug-2023 10:00 AM,21-Sep-2023 10:00 AM,26-Sep-2023 10:00 AM,"[Repairing of fencing wall in front of boundary wall at works-I and II at Gun and Shell Factory, Cossipore, Kolkata-700002.]
																				[GSF/RD2303/EO(C)/FENCING][2023_AWEIL_164445_1]",ADVANCED WEAPONS AND EQUIPMENT INDIA LTD-AWEIL||GUN AND SHELL FACTORY - COSSIPORE
09-Aug-2023 11:00 AM,22-Sep-2023 10:00 AM,27-Sep-2023 10:00 AM,"[Repairs to damaged RCC structure and MS stair of Over Head Tank at New Jheel Road Estate at Gun and Shell Factory, Cossipore, Kolkata-700002.]
																				[GSF/RD2207/EO(C)/NJRE TANK][2023_AWEIL_163607_1]",ADVANCED WEAPONS AND EQUIPMENT INDIA LTD-AWEIL||GUN AND SHELL FACTORY - COSSIPORE
18-Sep-2023 10:00 AM,09-Oct-2023 11:00 AM,10-Oct-2023 11:30 AM,"[Painting of Operational Boundary wall from inside face only during 2023-2024 at Lilabari Airport]
																				[AAI/LBR/SM(E-C)/Ops.B.w Painting/23-24][2023_AAI_167291_1]",Airports Authority of India||North East Region - AAI||LILABARI - AAI||ENGG CIVIL-VELR - AAI
16-Sep-2023 11:00 AM,31-Oct-2023 05:00 PM,06-Nov-2023 11:00 AM,"[Development of New Civil Enclave at Bagdogra Airport. Sub Head Construction of New Terminal Building, MLCP, Allied Structure and External Development works on Engineering Procurement and Construction (EPC) Model.]
																				[AAI/CHQ/ER/E-C/BGDR-EPC/2023][2023_AAI_167569_1]",Airports Authority of India||CHQ - AAI||Engineering Civil - AAI
16-Sep-2023 09:00 AM,07-Oct-2023 06:00 PM,09-Oct-2023 11:00 AM,"[Modification of Hangers at Begumpet Airport, Hyderabad.]
																				[AAI/HYD/ENGG(C)/W-04/2023-24][2023_AAI_167600_1]",Airports Authority of India||Southern Region - AAI||HYDERABAD - AAI||ENGG CIVIL-VOHY - AAI
15-Sep-2023 06:00 PM,04-Oct-2023 06:00 PM,05-Oct-2023 06:00 PM,"[Concession to Supply, Install, Test, Commission (SITC) and Operate Automated Parking Management System, Collection of Parking Fees and Excess Time Fees Rights at at Kangra Airport ]
																				[AAI/Kangra/Commercial-16/Car Parking/2023-24][2023_AAI_167825_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||ENGG ELECT-AMRITSAR - AAI
15-Sep-2023 06:00 PM,11-Oct-2023 06:00 PM,13-Oct-2023 11:00 AM,"[Works Contract for RMO AC Equipment at NSCBI Airport dg. 2023-26.SH All Inclusive / Comprehensive maintenance contract of window ACs, Split ACs, Ductable ACs, Package AC for 3 years.]
																				[AAC/EMD-I/AC Maintenance/2023-24][2023_AAI_167797_1]",Airports Authority of India||Eastern Region - AAI||KOLKATA AIRPORT - AAI||ENGG ELECT-VECC - AAI
15-Sep-2023 06:00 PM,06-Oct-2023 06:00 PM,09-Oct-2023 11:00 AM,"[Joint filling in Rigid Pavements at B.M. Airport, Ranchi.]
																				[AAI/RC/SM(E-C)/Joint Filling/2023-24][2023_AAI_167720_1]",Airports Authority of India||Eastern Region - AAI||RANCHI - AAI||ENGG CIVIL-VERC - AAI
15-Sep-2023 05:50 PM,22-Sep-2023 03:00 PM,25-Sep-2023 03:00 PM,"[LICENSE FOR OPERATING SNACK BAR IN THE CITY SIDE AREA OF TERMINAL BUILDING, LICENSE FOR VEHICLE PARKING MANAGEMENT RIGHTS AT CITY SIDE AREA OF TERMINAL BUILDING, TROLLEY ADVERTISEMENT RIGHTS CUM RETRIEVAL AT SALEM AIRPORT UNDER RCS.]
																				[AAI/SR/CH/SHORT TERM/SALEM/COMML][2023_AAI_167824_1]",Airports Authority of India||Southern Region - AAI||CHENNAI-AIRPORT - AAI||COMMERCIAL-VOMM - AAI
